SPICY,ra,dec,l,b,GaiaDR2,source_id,parallax,D
116641,336.97504,57.664596,104.66055,-0.023289,2007876015228864768,2007876015228864768,0.4490456076221158,2.226945288019669
116821,338.488071,58.113089,105.581003,-0.049947,2007945490612287104,2007945490612287104,0.566086837,1.7665134298114762
116860,338.740298,58.189767,105.734605,-0.050236,2007951159971091712,2007951159971091712,1.249183404528574,0.8005229627409175
116852,338.696304,58.199773,105.719516,-0.029986,2007951881534270976,2007951881534270976,5.370578121980585e-05,18619.96934570641
116883,338.943343,58.322431,105.893302,0.011625,2007954424155310976,2007954424155310976,0.2853815892665558,3.504080282719174
116754,338.152255,58.134928,105.438917,0.058392,2007959367653814656,2007959367653814656,0.8429259207746489,1.1863438712158716
116747,338.136503,58.192465,105.460917,0.112203,2007960845122564352,2007960845122564352,1.4199057323210449,0.7042721057019418
116848,338.684886,58.301162,105.764991,0.060831,2007965140089920384,2007965140089920384,0.6428333018291299,1.5556132470962243
116862,338.745483,58.285133,105.784574,0.031036,2007965586761737600,2007965586761737600,0.217852053433043,4.5902711690865505
116861,338.740995,58.355668,105.817741,0.093331,2007966926792064384,2007966926792064384,0.2703671817448827,3.6986737574665978
116873,338.880194,58.38493,105.895613,0.082325,2007967304749352448,2007967304749352448,2.062087934642431,0.48494537172751634
116828,338.582487,58.345355,105.740563,0.126006,2007968541699733760,2007968541699733760,0.3758363178018621,2.660732751557001
116857,338.729223,58.380136,105.824608,0.117614,2007969954748475136,2007969954748475136,1.5305841642155815,0.6533453196365038
116858,338.736733,58.417013,105.84643,0.1476,2007970332714088320,2007970332714088320,0.1301824759390077,7.681525434103081
116854,338.715569,58.415401,105.836022,0.151739,2007970397126026624,2007970397126026624,0.2168752153574703,4.610946429963072
116683,337.824553,58.147489,105.296405,0.157219,2007984317128825600,2007984317128825600,0.3533806599945324,2.8298096449745502
116682,337.819287,58.158861,105.299827,0.168414,2007984518982295296,2007984518982295296,0.3589734740802816,2.7857211526898444
116686,337.830871,58.181237,105.316511,0.184528,2007984695085935616,2007984695085935616,0.616047903,1.6232503919423293
116687,337.860085,58.283587,105.382001,0.264672,2007989191902221440,2007989191902221440,0.2708318035465518,3.692328548216884
116670,337.458017,58.385804,105.253265,0.460697,2008004520647300480,2008004520647300480,0.4524347576769454,2.2102634314272462
116712,338.064694,58.29338,105.479554,0.218339,2008008918701983616,2008008918701983616,0.2262693100739435,4.419512304488867
